"","X.3","X.2","X.1","X","songid","song","performer","n","lyrics","sentiment"
"1",1,1,1,1,"A Great Big SledThe Killers Featuring Toni Halliday","A Great Big Sled","The Killers Featuring Toni Halliday",2,"This snowman is shaping up to be an 8 But not out of 10 The robots awake to find that they've been taped down Wondering when they'll break through these chains But little boys have action toys for brains I'm living proof it can last a long time Now the girls off the street are innocent and sweet When they're all in bed They got their make-up and dreams of wonderland Sprinkled inside their heads And soon they will change But tonight Hollywood has never seemed so strange Now mother's pray it'll last a long time I want to roll around like a kid in the snow I want to re-learn what I already know Just let me take flight Dressed in red, through the night On a great big sled I want to wish you merry Christmas Ho Ho Ho Now they boys are all grown up And their working their fingers to the bone They go around chasing them girls on the weekend You know they still can't be alone I've been racking my brain With thoughts of peace and love How on earth did we get so mixed up? I pray to god it don't last a long time I want to roll around like a kid in the snow I want to re-learn what I already know Just let me take flight Dressed in red, through the night On a great big sled I hear the sound of bells There's something on the roof I wonder what this night will bring I want to roll around like a kid in the snow I want to re-learn what I already know Just let me take flight Dressed in red, through the night On a great big sled I want to wish you merry Christmas (Can't do that) I want to wish you merry Christmas (Can't do that)",18
"2",2,2,2,2,"A Holly Jolly ChristmasBurl Ives","A Holly Jolly Christmas","Burl Ives",1,"Have a holly, jolly Christmas; It's the best time of the year I don't know if there'll be snow But have a cup of cheer Have a holly, jolly Christmas; And when you walk down the street Say Hello to friends you know And everyone you meet Oh Ho The mistletoe Hung where you can see; Somebody waits for you; Kiss her once for me Have a holly jolly Christmas And in case you didn't hear Oh by golly Have a holly Jolly Christmas this year",9
"3",3,3,3,3,"All I Want For Christmas Is YouMariah Carey","All I Want For Christmas Is You","Mariah Carey",19,"I don't want a lot for Christmas There is just one thing I need I don't care about the presents Underneath the Christmas tree I just want you for my own More than you could ever know Make my wish come true All I want for Christmas is you, yeah I don't want a lot for Christmas There is just one thing I need (And I) Don't care about the presents Underneath the Christmas tree I don't need to hang my stocking There upon the fireplace (Ah) Santa Claus won't make me happy With a toy on Christmas Day I just want you for my own (Ooh) More than you could ever know (Ooh) Make my wish come true All I want for Christmas is you You, baby Oh, I won't ask for much this Christmas I won't even wish for snow (And I) I'm just gonna keep on waiting Underneath the mistletoe I won't make a list and send it To the North Pole for Saint Nick (Ah) I won't even stay awake to Hear those magic reindeer click 'Cause I just want you here tonight (Ooh) Holding on to me so tight (Ooh) What more can I do? Oh baby, all I want for Christmas is you You, baby Oh, all the lights are shining So brightly everywhere (So brightly, baby) And the sound of children's Laughter fills the air (Oh, oh yeah) And everyone is singing (Oh yeah) I hear those sleigh bells ringing (Oh) Santa, won't you bring me the one I really need? (Yeah, oh, oh) Won't you please bring my baby to me? Oh, I don't want a lot for Christmas This is all I'm asking for (Ah) I just wanna see my baby Standing right outside my door Oh, I just want you for my own (Ooh) More than you could ever know (Ooh) Make my wish come true Oh baby, all I want for Christmas is you You, baby All I want for Christmas is you, baby (You) All I want for Christmas is you, baby (Ah, oh, ah, oh) All I want for Christmas is you, baby (You) All I want for Christmas is you, baby (All I really want, baby, ooh) All I want for Christmas is you, baby (All I want, all I really want is you)",11
"4",4,4,4,4,"All I Want For Christmas Is YouMichael Buble","All I Want For Christmas Is You","Michael Buble",1,"I don't want a lot for Christmas There is just one thing I need I don't care about the presents Underneath the Christmas tree I just want you for my own More than you could ever know Make my wish come true You know that all I want for Christmas Is you... I won't ask for much this Christmas I won't even wish for snow No, I'm just gonna keep on waiting Underneath the mistletoe There's no sense in hanging stockings There upon the fireplace Cause Santa he won't make me happy With a toy on Christmas Day I just want you here tonight Holding on to me so tight Girl, what can I do? You know that all I want for Christmas Is you... And all the lights are shining So brightly everywhere And the sound of children's Laughter fills the air And everyone is singing I can hear those sleigh bells ringing Santa won't you bring me the one I really love Won't you please bring my baby to me... I don't want a lot for Christmas This is all I'm asking for No, I just wanna see my baby Standing right outside my door Oh I just want you for my own More that you could ever know Make my wish come true You know that all I want for Christmas Is you... Is you...",12
"5",5,5,5,5,"AmenThe Impressions","Amen","The Impressions",11,"Amen, amen, amen, amen, amen Sing it over Amen, amen, amen, amen, amen See the little baby Wrapped in a manger On Christmas morning Singing in a temple Talking with the elders Tomorrow there's wisdom Amen, amen, amen, amen, amen Hallelujah Amen, amen, amen, amen, amen Down at the Jordan John was baptizing And saving all sinners See him at the seaside Talking with the fisherman And made them disciples Amen, amen, amen, amen, amen Keep on pushin' now Amen, amen, amen, amen, amen Hallelujah now Amen, amen, amen, amen, amen",0
"6",6,6,6,6,"Auld Lang SyneKenny G","Auld Lang Syne","Kenny G",5,"",0
"7",7,7,7,7,"Baby, It's Cold OutsideGlee Cast","Baby, It's Cold Outside","Glee Cast",2,"I really can't stay (But, baby, it's cold outside) I've got to go away (But, baby, it's cold outside) This evening has been (Been hoping that you'd drop in) So very nice (I'll hold your hands, they're just like ice) My mother will start to worry (Beautiful, what's your hurry?) My father will be pacing the floor (Listen to the fireplace roar) So really, I'd better scurry (Beautiful, please don't hurry) But maybe just half a drink more (Put some records on while I pour) The neighbors might think (Baby, it's bad out there) Say, what's in this drink? (No cabs to be had out there) I wish I knew how (Your eyes are like starlight now) To break the spell (I'll take your hat, your hair looks well) I ought to say no, no, no, sir (Mind if I move in closer?) At least I'm gonna say that I tried (What's the sense in hurting my pride?) I really can't stay (Baby, don't hold out) Baby (Oh, but) It's cold outside I simply must go (But, baby, it's cold outside) The answer is no (But, baby, it's cold outside) This welcome has been (How lucky that you dropped in) So nice and warm (Look out the window at that storm) My sister will be suspicious (Gosh, your lips look delicious) My brother will be there at the door (Waves upon a tropical shore) My maiden aunt's mind is vicious (Ooh, your lips are delicious) But maybe just a cigarette more (Never such a blizzard before) I've gotta get home (But, baby, you'd freeze out there) Say, lend me your coat (It's up to your knees out there) You've really been grand (I thrill when you touch my hair) But don't you see (How can you do this thing to me?) There's bound to be talk tomorrow (Think about a lifelong sorrow) At least there will be plenty implied (If you caught pneumonia and died) I really can't stay (Get over that hold out) Ooh, baby (Oh, but) It's cold outside",4
"8",8,8,8,8,"Baby's First ChristmasConnie Francis","Baby's First Christmas","Connie Francis",6,"It's baby's first Christmas It's somethin' to see Mommy and Daddy Trimmin' baby's Christmas tree Baby's big brother Is busy with his toys He's shinin' up the chimney For Santa Claus! It's baby's first Christmas And oh, what a joy Shopping all around For every pretty toy It's a very special Christmas A blessing from above It's baby's first Christmas A Christmas full of love! It's baby's first Christmas And oh, what a joy Shopping all around For every pretty toy It's a very special Christmas A blessing from above It's baby's first Christmas A Christmas full of love!",11
"9",9,9,9,9,"BelieveBrooks & Dunn","Believe","Brooks & Dunn",5,"Old man Wrigley lived in that white house Down the street where I grew up Mama used to send me over with things We struck a friendship up I spent a few long summers Out on his old porch swing Said he was in the war when in the navy Lost his wife, lost his baby Broke down and asked him one time ""How you keep from goin' crazy"" He said, ""I'll see my wife and son in just a little while"" I asked him what he meant, he looked at me and smiled Said, ""I raise my hands Bow my head I'm findin' more and more truth In the words written in red They tell me that there's more to life Than just what I can see, oh, I believe"" A few years later I was off at college Talkin' to mom on the phone one night Gettin' all caught up on the gossip The ins and outs of the small town life She said, ""Oh, by the way son Old man Wrigley has died"" Later on that night I laid there thinkin' back Thought about a couple long-lost summers I didn't know whether to cry or laugh If there was ever anybody Deserved a ticket to the other side It'd be that sweet old man Who looked me in the eye Said, ""I raise my hands Bow my head I'm findin' more and more truth In the words written in red They tell me that there's more to life Than just what I can see..."" I can't quote the book The chapter or the verse You can't tell me it all ends In a slow ride in a hearse You know I'm more and more convinced The longer that I live Yeah, this can't be... no, this can't be No, this can't be all there is Lord, I raise my hands Bow my head Oh, I'm findin' more and more truth In the words written in red They tell me that there's more to this Than just what I can see, I believe Oh, I... I believe I believe (I believe) (I believe) Well, I believe (I believe) I believe (I believe)",-7
"10",10,10,10,10,"Better DaysGoo Goo Dolls","Better Days","Goo Goo Dolls",13,"And you ask me what I want this year And I try to make this kind and clear Just a chance that maybe we'll find better days Cause I don't need boxes wrapped in strings And designer love and empty things Just a chance that maybe we'll find better days So take these words And sing out loud 'Cause everyone is forgiven now 'Cause tonight's the night the world begins again I need someplace simple where we could live And something only you can give And that's faith and trust and peace while we're alive And the one poor child who saved this world And there's 10 million more who probably could If we all just stopped and said a prayer for them So take these words And sing out loud 'Cause everyone is forgiven now 'Cause tonight's the night the world begins again I wish everyone was loved tonight And somehow stop this endless fight Just a chance that maybe we'll find better days So take these words And sing out loud 'Cause everyone is forgiven now 'Cause tonight's the night the world begins again Cause tonight's the night the world begins again",16
